File selected,Parent folder,Probability for Lucila,Probability for Mosca Domestica,Probability for Piofila
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (10)piofila_10.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (13)piofila_13.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (15)piofila_15.png,Piofila,0.0000,0.0009,0.9991
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (20)piofila_20.png,Piofila,0.0003,0.0003,0.9994
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (22)piofila_22.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (23)piofila_23.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (25)piofila_25.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (28)piofila_28.png,Piofila,0.0003,0.0001,0.9996
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (38)piofila_38.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (39)piofila_39.png,Piofila,0.0000,0.0002,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (40)piofila_40.png,Piofila,0.0003,0.0020,0.9977
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (45)piofila_45.png,Piofila,0.0002,0.0048,0.9950
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (47)piofila_47.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (48)piofila_48.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (49)piofila_49.png,Piofila,0.0000,0.0000,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (51)piofila_51.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (61)piofila_61.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (65)piofila_65.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (66)piofila_66.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1 (7)piofila_7.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_1-5x (20)piofila_99.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_1-5x (26)piofila_105.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_1-5x (31)piofila_110.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_1-5x (35)piofila_114.png,Piofila,0.0000,0.0002,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_1-5x (47)piofila_126.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_1-5x (52)piofila_131.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_1-5x (54)piofila_133.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_1-5x (63)piofila_142.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (1)piofila_159.png,Piofila,0.0000,0.0004,0.9996
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (12)piofila_170.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (13)piofila_171.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (20)piofila_178.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (21)piofila_179.png,Piofila,0.0000,0.0000,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (22)piofila_180.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (29)piofila_187.png,Piofila,0.0004,0.0002,0.9995
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (3)piofila_161.png,Piofila,0.0000,0.0002,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (33)piofila_191.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (39)piofila_197.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (4)piofila_162.png,Piofila,0.0003,0.0015,0.9982
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (45)piofila_203.png,Piofila,0.0001,0.0031,0.9968
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (48)piofila_206.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (49)piofila_207.png,Piofila,0.0001,0.0001,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (51)piofila_209.png,Piofila,0.0000,0.0002,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (53)piofila_211.png,Piofila,0.0000,0.0003,0.9996
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (55)piofila_213.png,Piofila,0.0016,0.0009,0.9975
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (57)piofila_215.png,Piofila,0.0007,0.0039,0.9954
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (61)piofila_219.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (67)piofila_225.png,Piofila,0.0000,0.0002,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (73)piofila_231.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (75)piofila_233.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (8)piofila_166.png,Piofila,0.0002,0.0009,0.9989
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_3x (9)piofila_167.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (12)piofila_249.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (14)piofila_251.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (15)piofila_252.png,Piofila,0.0000,0.0004,0.9996
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (23)piofila_260.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (27)piofila_264.png,Piofila,0.0001,0.0000,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (30)piofila_267.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (31)piofila_268.png,Piofila,0.0000,0.0019,0.9980
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (37)piofila_274.png,Piofila,0.0001,0.0003,0.9996
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (40)piofila_277.png,Piofila,0.0000,0.0002,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (44)piofila_281.png,Piofila,0.0000,0.0006,0.9994
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (51)piofila_288.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (54)piofila_291.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (57)piofila_294.png,Piofila,0.0004,0.0030,0.9966
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (67)piofila_304.png,Piofila,0.0000,0.0003,0.9996
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (69)piofila_306.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (77)piofila_314.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (78)piofila_315.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (8)piofila_245.png,Piofila,0.0002,0.0008,0.9990
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_1_4x (9)piofila_246.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (11)piofila_327.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (17)piofila_333.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (18)piofila_334.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (28)piofila_344.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (36)piofila_352.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (43)piofila_359.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (44)piofila_360.png,Piofila,0.0001,0.0000,0.9998
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (45)piofila_361.png,Piofila,0.0001,0.0003,0.9996
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (5)piofila_321.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2 (52)piofila_368.png,Piofila,0.0000,0.0001,0.9999
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (10)piofila_379.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (24)piofila_393.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (29)piofila_398.png,Piofila,0.0000,0.0005,0.9995
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (30)piofila_399.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (32)piofila_401.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (39)piofila_408.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (4)piofila_373.png,Piofila,0.0000,0.0003,0.9997
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (43)piofila_412.png,Piofila,0.0000,0.0000,1.0000
H:/Il mio Drive/Personal/University/Master's/Complex System Desygn/InsectaCam/Test/Piofila/slice_2_1-5x (44)piofila_413.png,Piofila,0.0000,0.0000,1.0000
